"Time (s)","Pressure (hPa)"
0.000000000E0,9.656580353E2
1.014319000E0,9.656578064E2
2.028876000E0,9.656575775E2
3.042181000E0,9.656487274E2
4.055853000E0,9.656359863E2
5.068781000E0,9.656272125E2
6.082331000E0,9.656241608E2
7.096461000E0,9.656231689E2
7.217836000E0,9.656064606E2
8.231568000E0,9.655879211E2
9.245394000E0,9.655392456E2
1.025912700E1,9.654602814E2
1.127276800E1,9.653563690E2
1.228641000E1,9.652346802E2
1.330002000E1,9.651061249E2
1.431352800E1,9.649793243E2
1.532723000E1,9.648592377E2
1.634090200E1,9.647385406E2
1.735506200E1,9.646233368E2
1.836928300E1,9.645220947E2
1.938354200E1,9.644423676E2
2.039742800E1,9.643788147E2
2.141082500E1,9.643401337E2
2.242550400E1,9.643195343E2
2.343887000E1,9.643110657E2
2.445230200E1,9.643043518E2
2.546591300E1,9.643028259E2
2.648010400E1,9.643020630E2
2.749435500E1,9.643011475E2
2.850854600E1,9.642998505E2
2.952270800E1,9.642998505E2
3.053665500E1,9.643007660E2
3.155041800E1,9.643045044E2
3.256406000E1,9.643093872E2
3.357770100E1,9.643231201E2
3.459128700E1,9.643508911E2
3.560483700E1,9.644009399E2
3.661890600E1,9.644731140E2
3.763294400E1,9.645711517E2
3.864728700E1,9.646887970E2
3.966102400E1,9.648258972E2
4.067433000E1,9.649672699E2
4.168900900E1,9.651035309E2
4.270228400E1,9.652433777E2
4.371552800E1,9.653840637E2
4.472893500E1,9.655181885E2
4.574285100E1,9.656371307E2
4.675695000E1,9.657401276E2
4.777165900E1,9.658215332E2
4.878524000E1,9.658761597E2
4.979870100E1,9.659043884E2
5.081231200E1,9.659181976E2
5.182583100E1,9.659255219E2
5.283947200E1,9.659301758E2
5.385305300E1,9.659325409E2
5.486713600E1,9.659377289E2
5.588120500E1,9.659437561E2
5.689545700E1,9.659461975E2
5.790928100E1,9.659466553E2
5.892255600E1,9.659466553E2
5.993701400E1,9.659415436E2
6.095025800E1,9.659323883E2
6.196359500E1,9.659243011E2
6.297714400E1,9.659131622E2
6.399118200E1,9.658886719E2
6.500538500E1,9.658493805E2
6.601911800E1,9.658015442E2
6.703349200E1,9.657467651E2
6.804713300E1,9.656942749E2
6.906057300E1,9.656552124E2
7.007409200E1,9.656360626E2
7.108770300E1,9.656288910E2
7.210134400E1,9.656288910E2
7.311501600E1,9.656291199E2
7.412907300E1,9.656293488E2
7.514317200E1,9.656296539E2
7.615751500E1,9.656299591E2
7.717124800E1,9.656308746E2
7.818452300E1,9.656308746E2
7.919786600E1,9.656257629E2
8.021251400E1,9.656160736E2
8.122588100E1,9.656056213E2
8.223933900E1,9.655977631E2
8.325298000E1,9.655902100E2
