Time (s);Pressure (hPa)
0;968.2956543
0.033325196;968.3214111
0.066650391;968.2964478
0.099975586;968.2625732
0.133300781;968.2491455
0.166625977;968.2608032
0.199951172;968.265625
0.233276367;968.2676392
0.266601563;968.2623901
0.299926758;968.2626953
0.333251953;968.2684326
0.366577149;968.2654419
0.399902344;968.2678833
0.433227539;968.2628784
0.466552735;968.2680664
0.49987793;968.2741699
0.533203125;968.2754517
0.566528321;968.2674561
0.599853516;968.2597656
0.633178711;968.2727051
0.666503906;968.2730713
0.699829102;968.2780762
0.733154297;968.2780762
0.766479492;968.2944946
0.799804688;968.3153076
0.833129883;968.3240967
0.866455078;968.3319702
0.899780274;968.336853
0.933105469;968.335144
0.966430664;968.3036499
0.99975586;968.2776489
1.033081055;968.2606201
1.06640625;968.260498
1.099731446;968.2692871
1.133056641;968.2768555
1.166381836;968.2637939
1.199707031;968.2576294
1.233032227;968.2830811
1.266357422;968.3023682
1.299682617;968.3319702
1.333007813;968.3401489
1.366333008;968.3531494
1.399658203;968.3623047
1.432983399;968.3533325
1.466308594;968.3398438
1.499633789;968.324707
1.532958985;968.2998047
1.56628418;968.2799072
1.599609375;968.2810059
1.632934571;968.289978
1.666259766;968.3067627
1.699584961;968.3306885
1.732910156;968.3389893
1.766235352;968.3363037
1.799560547;968.3079834
1.832885742;968.3052979
1.866210938;968.3060303
1.899536133;968.2955933
1.932861328;968.3092041
1.966186524;968.321106
1.999511719;968.3192139
2.032836914;968.3106689
2.06616211;968.300415
2.099487305;968.2940063
2.1328125;968.3011475
2.166137696;968.3016968
2.199478747;968.2904053
2.232803942;968.2807007
2.266129137;968.2872314
2.299454333;968.2909546
2.332779528;968.3017578
2.366104723;968.3067017
2.399429919;968.3140259
2.432755114;968.2929077
2.466080309;968.2871094
2.499405505;968.2954712
2.5327307;968.2964478
2.566055895;968.2764282
2.599381091;968.2701416
2.632706286;968.2714844
2.666031481;968.2856445
2.699356677;968.3129883
2.732681872;968.3372803
2.766007067;968.3473511
2.799332262;968.3588257
2.832657458;968.3781738
2.865982653;968.3775635
2.899307848;968.368042
2.932633044;968.3423462
2.965958239;968.3166504
2.999283434;968.3035278
3.03260863;968.2816772
3.065933825;968.2561646
3.09925902;968.256958
3.132584216;968.2734375
3.165909411;968.2671509
3.199234606;968.2836914
3.232559802;968.2680054
3.265884997;968.2512817
3.299210192;968.2579956
3.332535387;968.2875977
3.365860583;968.3145752
3.399185778;968.322998
3.432510973;968.3850098
3.465836169;968.4181519
3.499161364;968.3605957
3.532486559;968.3148193
3.565811755;968.2880859
3.59913695;968.2474976
3.632462145;968.2143555
3.665787341;968.2235107
3.699112536;968.2532959
3.732437731;968.2279053
3.765762927;968.2164917
3.799088122;968.2528076
3.832413317;968.2714844
3.865738512;968.260437
3.899063708;968.2486572
3.932388903;968.2286987
3.965714098;968.2487183
3.999039294;968.2887573
4.032364489;968.3208618
4.065689684;968.338501
4.09901488;968.3291016
4.132340075;968.3123779
4.16566527;968.2804565
4.198990466;968.2579956
4.232315661;968.257019
4.265640856;968.2803955
4.298966052;968.277832
4.332291247;968.2607422
4.365616442;968.2466431
4.398941637;968.2376709
4.432266833;968.2285767
4.465592028;968.2446289
4.498917223;968.2562866
4.532242419;968.2611084
4.565567614;968.2653809
4.598892809;968.2774048
4.632218005;968.284668
4.6655432;968.2852783
4.698868395;968.2843018
4.732193591;968.2823486
4.765518786;968.2904663
4.798843981;968.2998047
4.832169177;968.3028564
4.865494372;968.284668
4.898819567;968.2827148
4.932144762;968.293457
4.965469958;968.2971191
4.998795153;968.3039551
5.032120348;968.3116455
5.065445544;968.3110352
5.098770739;968.3091431
5.132095934;968.3007202
5.16542113;968.2890625
5.198746325;968.276123
5.23207152;968.2663574
5.265396716;968.2612305
5.298721911;968.2536621
5.332047106;968.2528076
5.365372302;968.2593994
5.398697497;968.2588501
5.432022692;968.260437
5.465347887;968.2706909
5.498673083;968.2693481
5.531998278;968.270874
5.565323473;968.2709961
5.598648669;968.2785034
5.631973864;968.2837524
5.665299059;968.2849121
5.698624255;968.2848511
5.73194945;968.2764282
5.765274645;968.2727051
5.798599841;968.2684326
5.831925036;968.2700806
5.865250231;968.2727051
5.898575427;968.2729492
5.931900622;968.2894897
5.965225817;968.2970581
5.998551012;968.2927856
6.031876208;968.2785645
6.065201403;968.2815552
6.098526598;968.2739868
6.131851794;968.2805176
6.165176989;968.28125
6.198502184;968.2841797
6.23182738;968.2817383
6.265152575;968.2747803
6.29847777;968.2789917
6.331802966;968.277771
6.365128161;968.2803955
6.398453356;968.291748
6.431778552;968.2927856
6.465103747;968.2983398
6.498428942;968.2977295
6.531754137;968.2857666
6.565079333;968.2803955
6.598404528;968.2805176
6.631729723;968.284668
6.665054919;968.2799683
6.698380114;968.2850342
6.731705309;968.2891235
6.765030505;968.2929077
6.7983557;968.2994385
6.831680895;968.2945557
6.865006091;968.2907715
6.898331286;968.2967529
6.931656481;968.3036499
6.964981677;968.2996216
6.998306872;968.2964478
7.031632067;968.288208
7.064957262;968.2874146
7.098282458;968.2822266
7.131607653;968.2752686
7.164932848;968.2919312
7.198258044;968.293457
7.231583239;968.2799683
7.264908434;968.2773438
7.29823363;968.2827148
7.331558825;968.2750854
7.36488402;968.2782593
7.398209216;968.2805786
7.431534411;968.2756958
7.464859606;968.269165
7.498184802;968.2695312
7.531509997;968.2684326
7.564835192;968.267395
7.598160387;968.2622681
7.631485583;968.2523193
7.664810778;968.2613525
