Time (s);Pressure (hPa)
0;966.9953613
0.033325195;966.9991455
0.06665039;966.9639893
0.099975586;966.9619141
0.133300781;966.9650879
0.166625976;966.9697876
0.199951172;966.9692383
0.233276367;966.9760742
0.266601562;966.9700317
0.299926757;966.9711914
0.333251953;966.96875
0.366577148;966.9768066
0.399902343;966.9956055
0.433227539;967.0084229
0.466552734;967.0238037
0.499877929;967.0270996
0.533203125;967.0270996
0.56652832;967.026123
0.599853515;967.0246582
0.633178711;967.0140381
0.666503906;967.0073853
0.699829101;966.9976807
0.733154297;966.9898682
0.766479492;966.9853516
0.799804687;966.9977417
0.833129882;966.9910889
0.866455078;966.9854736
0.899780273;966.9897461
0.933105468;966.9841309
0.966430664;966.9857788
0.999755859;966.9863281
1.033081054;966.9874878
1.06640625;966.9868164
1.099731445;966.9832153
1.13305664;966.9927979
1.166381836;966.9957886
1.199707031;966.9958496
1.233032226;966.9929199
1.266357422;966.9880981
1.299682617;967.0006714
1.333007812;966.9991455
1.366333007;966.9996338
1.399658203;967.0061035
1.432983398;966.989624
1.466308593;966.9830933
1.499633789;966.9849854
1.532958984;966.9917603
1.566284179;966.9899292
1.599609375;966.9951172
1.63293457;966.9926147
1.666259765;966.9990845
1.699584961;967.0145874
1.732910156;967.0130615
1.766235351;967.0177002
1.799560547;967.0109253
1.832885742;966.9972534
1.866210937;966.9880371
1.899536132;966.9871216
1.932861328;966.9928589
1.966186523;966.9927979
1.999511718;966.9943848
2.032836914;966.9990234
2.066162109;966.9922485
2.099487304;966.996582
2.1328125;966.9920654
2.166137695;966.984375
2.19946289;966.9802246
2.232788086;966.9876709
2.266113281;966.9904785
2.299438476;966.9981079
2.332763672;966.9920044
2.366088867;966.9914551
2.399414062;966.99646
2.432739257;966.9953613
2.466064453;966.9956055
2.499389648;966.9934082
2.532714843;966.9876099
2.566040039;966.9886475
2.599365234;966.9797363
2.632690429;966.9841309
2.666015625;966.9897461
2.69934082;966.9993286
2.732666015;966.9875488
2.765991211;966.9836426
2.799316406;966.9875488
2.832641601;966.9918213
2.865966797;966.9898071
2.899291992;966.9830322
2.932617187;966.9890137
2.965942382;967.0013428
2.999267578;966.9938354
3.032592773;966.994751
3.065917968;966.9915161
3.099243164;966.991272
3.132568359;966.9867554
3.165893554;966.9891357
3.19921875;966.9915771
3.232543945;966.9908447
3.26586914;966.9858398
3.299194336;966.9908447
3.332519531;966.9924927
3.365844726;966.9846191
3.399169922;966.9855957
3.432495117;966.9875488
3.465820312;966.9881592
3.499145507;966.9786377
3.532470703;966.9880981
3.565795898;966.9888306
3.599121093;966.9932861
3.632446289;966.9983521
3.665771484;966.9924316
3.699096679;966.9914551
3.732421875;966.9887695
3.76574707;966.9888916
