"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
0.000000000E0,-1.764767838E1,-1.399034500E1,-4.545651245E1,5.072932909E1
1.000800000E-2,-1.764583969E1,-1.357678127E1,-4.558245087E1,5.072932559E1
2.001099999E-2,-1.766634750E1,-1.320147896E1,-4.568463516E1,5.072932851E1
3.002599999E-2,-1.772250366E1,-1.283637238E1,-4.576685715E1,5.072932884E1
4.003400000E-2,-1.781597710E1,-1.248703766E1,-4.582717133E1,5.072932861E1
5.004500000E-2,-1.799654961E1,-1.214524364E1,-4.584846878E1,5.072932910E1
6.005399999E-2,-1.817155838E1,-1.184716511E1,-4.585743332E1,5.072933122E1
7.006200000E-2,-1.837456131E1,-1.155951881E1,-4.584994888E1,5.072932871E1
8.007000000E-2,-1.860027313E1,-1.126310062E1,-4.583271027E1,5.072933004E1
9.008099999E-2,-1.882221985E1,-1.094143391E1,-4.582001877E1,5.072933132E1
1.000890000E-1,-1.897537994E1,-1.059492493E1,-4.583827209E1,5.072932748E1
1.100970000E-1,-1.904301834E1,-1.022929573E1,-4.589324951E1,5.072933460E1
1.201070000E-1,-1.904301834E1,-1.022929573E1,-4.589324951E1,5.072933460E1
1.301150000E-1,-1.893836975E1,-9.443145752E0,-4.610455704E1,5.072933106E1
1.401240000E-1,-1.878903580E1,-9.019809723E0,-4.625019073E1,5.072933054E1
1.501340000E-1,-1.878903580E1,-9.019809723E0,-4.625019073E1,5.072933054E1
1.601420000E-1,-1.854622078E1,-8.183700562E0,-4.650300598E1,5.072932905E1
1.701280000E-1,-1.853795242E1,-7.809848785E0,-4.657054138E1,5.072932823E1
1.801610000E-1,-1.863100052E1,-7.486156464E0,-4.658656311E1,5.072932664E1
1.901690000E-1,-1.863100052E1,-7.486156464E0,-4.658656311E1,5.072932664E1
2.001770000E-1,-1.924173737E1,-7.039395332E0,-4.640762329E1,5.072933119E1
2.101870000E-1,-1.924173737E1,-7.039395332E0,-4.640762329E1,5.072933119E1
2.201950000E-1,-1.997712517E1,-6.814677238E0,-4.612959290E1,5.072932778E1
2.301980000E-1,-2.030560112E1,-6.704323292E0,-4.600216675E1,5.072932814E1
2.401960000E-1,-2.030560112E1,-6.704323292E0,-4.600216675E1,5.072932814E1
2.502040000E-1,-2.105045891E1,-6.416406631E0,-4.570746994E1,5.072932981E1
2.602150000E-1,-2.137424088E1,-6.224722862E0,-4.558354187E1,5.072932719E1
2.702400000E-1,-2.160349464E1,-6.028279305E0,-4.550180054E1,5.072933061E1
2.802480000E-1,-2.160349464E1,-6.028279305E0,-4.550180054E1,5.072933061E1
2.902450000E-1,-2.186220169E1,-5.706029892E0,-4.541971207E1,5.072932962E1
3.002670000E-1,-2.186220169E1,-5.706029892E0,-4.541971207E1,5.072932962E1
3.102750000E-1,-2.221187592E1,-5.530920982E0,-4.527147675E1,5.072933200E1
3.202740000E-1,-2.242996216E1,-5.456992149E0,-4.517281342E1,5.072933114E1
3.302940000E-1,-2.242996216E1,-5.456992149E0,-4.517281342E1,5.072933114E1
3.403020000E-1,-2.276202774E1,-5.268557549E0,-4.502884674E1,5.072932726E1
3.503030000E-1,-2.284390068E1,-5.165547371E0,-4.499931335E1,5.072932959E1
3.603200000E-1,-2.290861320E1,-5.028733253E0,-4.498191071E1,5.072933084E1
3.703280000E-1,-2.287084961E1,-4.838851929E0,-4.502193451E1,5.072932916E1
3.803310000E-1,-2.268807411E1,-4.570189476E0,-4.514232635E1,5.072933045E1
3.903470000E-1,-2.235452271E1,-4.207901955E0,-4.534350586E1,5.072932730E1
4.003550000E-1,-2.235452271E1,-4.207901955E0,-4.534350586E1,5.072932730E1
4.103520000E-1,-2.155667686E1,-3.239326477E0,-4.580700302E1,5.072933155E1
4.203730000E-1,-2.155667686E1,-3.239326477E0,-4.580700302E1,5.072933155E1
4.303810000E-1,-2.106649971E1,-2.011597633E0,-4.610445404E1,5.072932700E1
4.403770000E-1,-2.107185173E1,-1.422760010E0,-4.612393951E1,5.072933055E1
4.504000000E-1,-2.107185173E1,-1.422760010E0,-4.612393951E1,5.072933055E1
4.604080000E-1,-2.122873497E1,-4.627933502E-1,-4.607159042E1,5.072932890E1
4.704030000E-1,-2.104883194E1,-1.419782639E-1,-4.615616608E1,5.072933225E1
4.804260000E-1,-2.104883194E1,-1.419782639E-1,-4.615616608E1,5.072933225E1
4.904340000E-1,-2.059242058E1,4.470319748E-1,-4.635965347E1,5.072933168E1
5.004300000E-1,-2.035025024E1,8.237466812E-1,-4.646131516E1,5.072933125E1
5.104540000E-1,-2.035025024E1,8.237466812E-1,-4.646131516E1,5.072933125E1
5.204620000E-1,-1.972302055E1,1.243092537E0,-4.672175217E1,5.072933022E1
