"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Speed (m/s)","Richtung (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satelliten"
0.000000000E0,4.622984870E1,6.053995570E0,4.301416016E2,-1.000000000E0,-1.000000000E0,1.373054397E-7,1.335564715E3,1.335564715E3,0.000000000E0
2.139997482E-2,4.622984870E1,6.053995571E0,4.301416016E2,-1.000000000E0,-1.000000000E0,2.746108794E-7,1.335564815E3,1.335564815E3,0.000000000E0
3.321130276E-1,4.623033088E1,6.054061866E0,4.305640564E2,-1.000000000E0,-1.000000000E0,1.239609619E-2,6.500000000E1,6.500000000E1,0.000000000E0
3.259893060E0,4.623032995E1,6.054223012E0,4.435584717E2,1.399999976E0,3.258984375E2,2.479191797E-2,1.000000000E1,1.000000000E1,0.000000000E0
3.608450055E0,4.623033900E1,6.054214127E0,4.420735130E2,1.399999976E0,3.258984375E2,2.503763224E-2,1.000000000E1,1.000000000E1,0.000000000E0
4.609472990E0,4.623033715E1,6.054215888E0,4.573077049E2,1.399999976E0,3.258984375E2,2.528334651E-2,1.000000000E1,1.000000000E1,0.000000000E0
5.609549999E0,4.623031042E1,6.054202896E0,4.533086815E2,7.400000095E-1,3.258984375E2,2.989433686E-2,1.000000000E1,1.000000000E1,0.000000000E0
6.608847022E0,4.623031863E1,6.054144138E0,4.456639061E2,6.499999762E-1,3.258984375E2,3.450532655E-2,1.000000000E1,1.000000000E1,0.000000000E0
7.611019969E0,4.623024504E1,6.054109018E0,4.441003075E2,6.000000238E-1,3.258984375E2,3.653963560E-2,1.000000000E1,1.000000000E1,0.000000000E0
8.609310031E0,4.623022819E1,6.054119328E0,4.419759178E2,7.599999905E-1,6.011718750E1,3.857394474E-2,5.000000000E0,5.000000000E0,0.000000000E0
9.610666990E0,4.623025459E1,6.054148916E0,4.472371483E2,7.599999905E-1,6.785156250E1,4.023652637E-2,1.000000000E1,1.000000000E1,0.000000000E0
1.060939598E1,4.623025170E1,6.054127710E0,4.426740379E2,8.399999738E-1,5.343750000E1,4.189910809E-2,5.000000000E0,5.000000000E0,0.000000000E0
1.141694069E1,4.623025170E1,6.054127710E0,4.313384666E2,0.000000000E0,-1.000000000E0,4.433835894E-2,1.000000000E1,1.000000000E1,0.000000000E0
1.241684914E1,4.623023460E1,6.054147575E0,4.309149437E2,7.400000095E-1,8.578125000E1,4.677761010E-2,1.000000000E1,1.000000000E1,0.000000000E0
1.341675544E1,4.623018381E1,6.054169368E0,4.304164696E2,9.200000167E-1,5.062500000E1,4.945320404E-2,5.000000000E0,5.000000000E0,0.000000000E0
1.441665864E1,4.623020514E1,6.054185461E0,4.319046898E2,9.200000167E-1,6.222656250E1,5.212879776E-2,5.000000000E0,5.000000000E0,0.000000000E0
1.541656852E1,4.623014085E1,6.054187557E0,4.290083275E2,1.200000048E0,7.664062500E1,5.445697022E-2,5.000000000E0,5.000000000E0,0.000000000E0
1.641647995E1,4.623012807E1,6.054211529E0,4.282802391E2,1.309999943E0,7.734375000E1,5.678514302E-2,5.000000000E0,5.000000000E0,0.000000000E0
1.741639960E1,4.623012513E1,6.054229969E0,4.276168480E2,1.279999971E0,1.019531250E2,5.825423430E-2,5.000000000E0,5.000000000E0,0.000000000E0
1.841632152E1,4.623012015E1,6.054247655E0,4.266729393E2,1.279999971E0,9.632812500E1,5.972332570E-2,5.000000000E0,5.000000000E0,0.000000000E0
1.941624677E1,4.623011633E1,6.054266598E0,4.261476097E2,1.269999981E0,9.175781250E1,6.100469957E-2,5.000000000E0,5.000000000E0,0.000000000E0
2.041617560E1,4.623011315E1,6.054282608E0,4.259699974E2,1.169999957E0,9.140625000E1,6.228607350E-2,5.000000000E0,5.000000000E0,0.000000000E0
2.141610754E1,4.623011235E1,6.054297779E0,4.261775780E2,1.259999990E0,9.140625000E1,6.364341791E-2,5.000000000E0,5.000000000E0,0.000000000E0
2.241604137E1,4.623011382E1,6.054315297E0,4.260741844E2,1.340000033E0,7.875000000E1,6.500076229E-2,5.000000000E0,5.000000000E0,0.000000000E0
2.341597950E1,4.623011688E1,6.054332480E0,4.263688622E2,1.340000033E0,7.839843750E1,6.637228229E-2,5.000000000E0,5.000000000E0,0.000000000E0
2.441591847E1,4.623012124E1,6.054349160E0,4.263144188E2,1.320000052E0,6.117187500E1,6.774380220E-2,5.000000000E0,5.000000000E0,0.000000000E0
2.541586208E1,4.623012777E1,6.054363744E0,4.258235130E2,1.279999971E0,6.046875000E1,6.919438422E-2,5.000000000E0,5.000000000E0,0.000000000E0
2.641580665E1,4.623013750E1,6.054376317E0,4.262514305E2,1.320000052E0,3.796875000E1,7.064496613E-2,5.000000000E0,5.000000000E0,0.000000000E0
2.741575313E1,4.623014818E1,6.054389225E0,4.268769188E2,1.470000029E0,3.796875000E1,7.214310434E-2,5.000000000E0,5.000000000E0,0.000000000E0
2.841570151E1,4.623015954E1,6.054399703E0,4.271829491E2,1.470000029E0,3.832031250E1,7.364124245E-2,5.000000000E0,5.000000000E0,0.000000000E0
2.941565263E1,4.623017161E1,6.054409007E0,4.272882347E2,1.470000029E0,3.269531250E1,7.516672328E-2,5.000000000E0,5.000000000E0,0.000000000E0
3.041560435E1,4.623018423E1,6.054416802E0,4.268201561E2,1.429999948E0,3.234375000E1,7.669220405E-2,5.000000000E0,5.000000000E0,0.000000000E0
3.141555858E1,4.623019575E1,6.054425016E0,4.271741600E2,1.429999948E0,3.234375000E1,7.816599186E-2,5.000000000E0,5.000000000E0,0.000000000E0
3.241551447E1,4.623020623E1,6.054436751E0,4.278330956E2,1.500000000E0,3.304687500E1,7.963977956E-2,5.000000000E0,5.000000000E0,0.000000000E0
3.341547143E1,4.623021591E1,6.054447731E0,4.284857445E2,1.500000000E0,3.339843750E1,8.081884408E-2,5.000000000E0,5.000000000E0,0.000000000E0
3.441542995E1,4.623022471E1,6.054456281E0,4.291770287E2,1.179999948E0,2.390625000E1,8.199790853E-2,5.000000000E0,5.000000000E0,0.000000000E0
3.541538990E1,4.623023519E1,6.054461226E0,4.290722313E2,1.159999967E0,2.320312500E1,8.315385061E-2,5.000000000E0,5.000000000E0,0.000000000E0
3.641535091E1,4.623024550E1,6.054463154E0,4.285158348E2,1.110000014E0,1.828125000E1,8.430979269E-2,5.000000000E0,5.000000000E0,0.000000000E0
3.741531312E1,4.623025551E1,6.054465165E0,4.285400047E2,1.110000014E0,1.828125000E1,8.556539597E-2,5.000000000E0,5.000000000E0,0.000000000E0
3.841527581E1,4.623026666E1,6.054467764E0,4.281951561E2,1.240000010E0,1.792968750E1,8.682099923E-2,5.000000000E0,5.000000000E0,0.000000000E0
3.941524017E1,4.623027647E1,6.054469775E0,4.278938866E2,1.110000014E0,1.792968750E1,8.801442688E-2,5.000000000E0,5.000000000E0,0.000000000E0
4.041520393E1,4.623028720E1,6.054469356E0,4.274194603E2,1.240000010E0,1.125000000E1,8.920785452E-2,5.000000000E0,5.000000000E0,0.000000000E0
